make,model,number,colour,size_l,size_u,head_width,strength,weight
DMM,Dragon,0,Blue,13.6,22.5,39.1,9,75
DMM,Dragon,0,Silver,16,26.7,40.1,12,85
DMM,Dragon,1,Purple,20,33,40.2,14,97
DMM,Dragon,2,Green,24,41,40.8,14,106
DMM,Dragon,3,Red,29,50,42.2,14,119
DMM,Dragon,4,Gold,38,64,51.2,14,148
DMM,Dragon,5,Blue,50,85,55.4,14,195
DMM,Dragon,6,Silver,68,114,66.1,14,276
DMM,4CU,0,Blue,13,19,42,14,75
DMM,4CU,0.5,Red,17,24,42,14,80
DMM,4CU,1,Gold,19,29,48,14,93
DMM,4CU,1.25,Purple,21,33,48,14,96
DMM,4CU,1.5,Silver,23,35,48,14,97
DMM,4CU,1.75,Green,25,41,48,14,99
DMM,4CU,2,Red,29,44,48,14,110
DMM,4CU,2.5,Gold,33,55,53,14,123
DMM,4CU,3,Purple,43,66,56,14,151
DMM,4CU,3.5,Blue,51,82,65,14,185
DMM,4CU,4,Silver,64,100,65,14,224
Wildcountry,Helium,0,Blue,14,22.54,42,11,87
Wildcountry,Helium,0.5,Red,16.56,26.66,42,11,91
Wildcountry,Helium,1,Gold,19.71,31.73,46,11,98
Wildcountry,Helium,1.5,Silver,23.59,37.98,48,12,106
Wildcountry,Helium,2,Red,28.41,45.73,50,12,111
Wildcountry,Helium,2.5,Gold,34.4,55.39,53,12,131
Wildcountry,Helium,3,Purple,41.9,67.47,53,12,145
Wildcountry,Helium,3.5,Blue,51.34,82.65,60,12,178
Wildcountry,Helium,4,Silver,63.25,101.83,60,12,221
Wildcountry,Zero,1,Purple,5.5,7.8,,3,25
Wildcountry,Zero,2,Green,7.0,9.8,,4,32
Wildcountry,Zero,3,Silver,8.5,12.2,,6,44
Wildcountry,Zero,4,Gold,10.3,16,,6,50
Wildcountry,Zero,5,Blue,13.0,19.0,,9,66
Wildcountry,Zero,6,Red,17.0,24.0,,9,70
Totem,Totem,0.65,blue,13.8,22.5 ,30,8,75
Totem,Totem,0.8,yellow,17,27.7,32,9,83
Totem,Totem,1,purple,20.9,34.2 ,34,10,95
Totem,Totem,1.25,green,25.7,42.3 ,37,13,109
Totem,Totem,1.5,red,31.6,52.2 ,41,13,132.5
Black Diamond,X4,0.1,Red,8.4,13.8,31,5,51
Black Diamond,X4,0.2,Yellow,9.9,16.5,31,6,54
Black Diamond,X4,0.3,Blue,12.4,21.2,34,8,75
Black Diamond,X4,0.4,Grey,15.5,26.6,33,9,82
Black Diamond,X4,0.5,Purple,19.8,33.7,34,9,91
Black Diamond,X4,0.75,Green,24,41.2,39,9,112
